group,case,controller,pv_scale,pv_spill_kwh,pv_spill_reduction_vs_no_tes_kwh,tes_charge_during_no_tes_surplus_kwh_th,tes_discharge_during_no_tes_surplus_kwh_th,total_cost,peak_cap_kw,peak_grid_kw,peak_reduction_vs_no_tes_kw,no_tes_violation_window_hours,tes_discharge_during_no_tes_peak_window_kwh_th,tes_charge_during_no_tes_peak_window_kwh_th,peak_slack_max_kw
pv,pv3_no_tes,no_tes,3.0,41206.823819675,0.0,0.0,0.0,2543.573641906073,,,,,,,
pv,pv3_rbc,rbc,3.0,41070.59286299156,136.23095668344467,2250.0,1237.5,2590.7497219060733,,,,,,,
pv,pv3_mpc,mpc,3.0,29337.78,11869.043819675004,0.0,0.0,278.60311666794394,,,,,,,
pv,pv5_no_tes,no_tes,5.0,80458.58381967501,0.0,0.0,0.0,2382.336601906073,,,,,,,
pv,pv5_rbc,rbc,5.0,80301.95286299156,156.6309566834534,2250.0,1237.5,2428.921081906073,,,,,,,
pv,pv5_mpc,mpc,5.0,67178.4,13280.183819675018,0.0,0.0,119.2048649403583,,,,,,,
peak,peak3000_no_tes,no_tes,,,,,,2955.9267051618913,3000.0,2633.2499999999836,0.0,0.0,0.0,0.0,0.0
peak,peak3000_rbc,rbc,,,,,,3002.303342066618,3000.0,2576.5499999999834,56.70000000000027,0.0,0.0,0.0,0.0
peak,peak3000_mpc,mpc,,,,,,1178.0169982788916,3000.0,2567.4037732932447,65.84622670673889,0.0,0.0,0.0,0.0
peak,peak2800_no_tes,no_tes,,,,,,2955.9267051618913,2800.0,2633.2499999999836,0.0,0.0,0.0,0.0,0.0
peak,peak2800_rbc,rbc,,,,,,3002.303342066618,2800.0,2576.5499999999834,56.70000000000027,0.0,0.0,0.0,0.0
peak,peak2800_mpc,mpc,,,,,,1178.0169982788634,2800.0,2567.403773300408,65.84622669957571,0.0,0.0,0.0,0.0
peak,peak2600_no_tes,no_tes,,,,,,2955.9267051618913,2600.0,2633.2499999999836,0.0,2.75,0.0,0.0,33.24999999998363
peak,peak2600_rbc,rbc,,,,,,3002.303342066618,2600.0,2576.5499999999834,56.70000000000027,2.75,1237.5,0.0,0.0
peak,peak2600_mpc,mpc,,,,,,1178.0169982788864,2600.0,2567.403773296146,65.8462267038376,2.75,4352.524124306862,2.8723404225191045,0.0
