controller,steps,record_start_step,first_timestamp,last_timestamp,exit_code,elapsed_s,fallback_count,facility_energy_kwh,pv_adjusted_grid_kwh,pv_adjusted_cost,peak_facility_kw,peak_grid_kw,tes_charge_energy_kwh_th,tes_discharge_energy_kwh_th,soc_min,soc_max,soc_final,zone_temp_min_c,zone_temp_max_c,tes_set_mismatch_count,ite_set_mismatch_count,chiller_t_set_mismatch_count,tes_use_response_count,tes_source_response_count,temp_violation_threshold_c,temp_violation_degree_hours_27c,valid_comfort_flag,case_id,season,month,model_source
no_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,84.80961989998468,0,6452404.43602499,6379549.52602499,280277.47103145765,10310.90997659808,10309.805165181702,0.0,0.0,0.7084251465914271,1.0,0.7084251465914271,24.565477993785684,25.24103278715033,0,0,0,0,0,27.0,0.0,True,winter_no_mpc,winter,January,none
default_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,120.73366709999392,0,5536039.648696344,5463184.738696344,235397.52629536323,10883.8123126954,10883.8123126954,171894.00529618785,268745.64499785827,0.0721768141424308,1.0,1.0,24.55658040714459,29.859543770155145,0,0,0,1346,565,27.0,220.79244108819887,False,winter_default_mpc,winter,January,default_proxy
measured_data_mpc,2880,0,2024-01-01 00:00:00,2024-01-30 23:45:00,0,120.80227780001589,0,5659333.775381313,5586478.865381313,239570.72941883563,10878.935194935391,10878.935194935391,204539.1436169808,253307.2882210874,0.1098596495818812,1.0,1.0,24.55673882194705,29.66037832547104,0,0,0,1148,758,27.0,156.12559641474144,False,winter_measured_data_mpc,winter,January,measured_sampling
no_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,87.52622950001387,0,7258566.220001824,7054009.900001824,296997.7254895794,10346.166940958932,10346.166940958932,0.0,0.0,0.0,0.0095581048503636,0.0,25.147568967039515,29.126767640182933,0,0,0,0,0,27.0,386.1742146448859,False,spring_no_mpc,spring,April,none
default_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,121.48161889999756,0,7071328.4359787125,6866772.115978713,278764.2684577508,10894.165908958425,10894.165908958425,1031668.0519707138,552531.4241000406,0.0,0.4892812648604249,0.0786637051395675,25.14600007887642,33.16970902647292,0,0,0,352,2521,27.0,563.7410210222372,False,spring_default_mpc,spring,April,default_proxy
measured_data_mpc,2880,8640,2024-04-01 00:00:00,2024-04-30 23:45:00,0,123.65681770001538,0,7127067.268266069,6922510.948266069,282836.29821554426,10886.81410992487,10886.81410992487,951807.8015165672,516923.5243714362,0.0,0.7499293091255497,0.1361096413691202,25.14535277666058,33.237302313682726,0,0,0,319,2555,27.0,527.3181360543142,False,spring_measured_data_mpc,spring,April,measured_sampling
no_mpc,2880,17376,2024-07-01 00:00:00,2024-07-30 23:45:00,0,89.93840309997904,0,7204592.241036056,7107911.001036055,314516.660620958,10343.769650971017,10343.769650971017,0.0,0.0,0.0,0.0,0.0,25.397943230880305,25.746452734614135,0,0,0,0,0,27.0,0.0,True,summer_no_mpc,summer,July,none
default_mpc,2880,17376,2024-07-01 00:00:00,2024-07-30 23:45:00,0,124.97895809999318,0,7040944.630157525,6944263.3901575245,293852.2612451686,10798.071523985069,10798.071523985069,1060476.3408824792,558663.9324110174,0.0,0.4873921225571269,0.0760971455538187,25.353789169236013,33.40265086451208,0,0,0,329,2551,27.0,509.6937037421637,False,summer_default_mpc,summer,July,default_proxy
measured_data_mpc,2880,17376,2024-07-01 00:00:00,2024-07-30 23:45:00,0,124.38236319998396,0,7081511.432809733,6984830.192809733,299471.51001180755,10779.889848168948,10779.889848168948,980963.8942259772,531780.7030619647,0.0,0.6514611231051443,0.1448829416436797,25.341691629169983,33.43961810379672,0,0,0,313,2563,27.0,560.1538466244044,False,summer_measured_data_mpc,summer,July,measured_sampling
no_mpc,2880,26208,2024-10-01 00:00:00,2024-10-30 23:45:00,0,90.93277339998168,0,7204224.699217304,7054248.459217304,299814.87442232296,10321.371248749356,10321.371248749356,0.0,0.0,0.0,0.0,0.0,25.40585236590776,25.851940217342964,0,0,0,0,0,27.0,0.0,True,autumn_no_mpc,autumn,October,none
default_mpc,2880,26208,2024-10-01 00:00:00,2024-10-30 23:45:00,0,128.42013899999438,0,7080493.520288764,6930517.280288763,284596.7958150855,10876.733046722722,10876.733046722722,1061956.3599699014,553670.4779060407,0.0,0.4883937524265753,0.116608146670911,25.398961926974454,33.23673086873887,0,0,0,330,2543,27.0,428.6890889732682,False,autumn_default_mpc,autumn,October,default_proxy
measured_data_mpc,2880,26208,2024-10-01 00:00:00,2024-10-30 23:45:00,0,127.75054830001318,0,7124472.160700709,6974495.920700708,287957.6826164932,10877.7337414973,10877.7337414973,980695.4181380676,522121.0674701236,0.0,0.7197641755934253,0.3608910665275398,25.398961926974454,33.25750856363393,0,0,0,304,2572,27.0,482.9705785503116,False,autumn_measured_data_mpc,autumn,October,measured_sampling
